ID,Código,Tipo,Latitude,Longitude,Altitude,Município,Estado,Status
67,FHV-P-0026,P,-25.42871972,-49.59921763,817.730,JUFAP,PR,LEVANTADO
68,FHV-P-0027,P,-25.42882333,-49.59918511,822.840,JUFAP,PR,LEVANTADO
69,FHV-P-0028,P,-25.42897538,-49.59885335,820.710,JUFAP,PR,LEVANTADO
70,FHV-P-0029,P,-25.42921549,-49.59867747,824.560,JUFAP,PR,LEVANTADO
71,FHV-P-0030,P,-25.42951049,-49.59850026,822.400,JUFAP,PR,LEVANTADO
72,FHV-P-0031,P,-25.42996086,-49.59815083,822.740,JUFAP,PR,LEVANTADO
73,FHV-P-0286,P,-25.38059673,-49.50210693,962643.000,Pauli,PR,LEVANTADO
74,FHV-P-0287,P,-25.38163425,-49.50278844,964872.000,Pauli,PR,LEVANTADO
75,FHV-P-0288,P,-25.38155583,-49.50259792,968581.000,Pauli,PR,LEVANTADO
76,FHV-P-0289,P,-25.38149332,-49.50230877,970185.000,Pauli,PR,LEVANTADO
77,FHV-P-0290,P,-25.38139895,-49.50189877,973074.000,Pauli,PR,LEVANTADO
78,FHV-P-0291,P,-25.38137953,-49.50181437,973451.000,Pauli,PR,LEVANTADO
79,FHV-P-0292,P,-25.38079779,-49.50189500,970124.000,Pauli,PR,LEVANTADO
80,FHV-P-0293,P,-25.38113996,-49.50174864,971854.000,Pauli,PR,LEVANTADO
81,FHV-P-0294,P,-25.38142108,-49.50179794,982368.000,Pauli,PR,LEVANTADO
82,FHV-P-0295,P,-25.38137224,-49.50164820,981963.000,Pauli,PR,LEVANTADO
83,FHV-P-0296,P,-25.38145349,-49.50161305,980098.000,Pauli,PR,LEVANTADO
84,FHV-P-0297,P,-25.38210804,-49.50133361,978016.000,Pauli,PR,LEVANTADO
85,FHV-P-0298,P,-25.38240991,-49.50120721,977741.000,Pauli,PR,LEVANTADO
86,FHV-P-0299,P,-25.38259392,-49.50114730,976451.000,Pauli,PR,LEVANTADO
87,FHV-P-0300,P,-25.38275696,-49.50112693,973124.000,Pauli,PR,LEVANTADO
88,FHV-P-0301,P,-25.38299696,-49.50114916,961674.000,Pauli,PR,LEVANTADO
89,FHV-P-0302,P,-25.38177543,-49.50147567,979651.000,Pauli,PR,LEVANTADO
90,FHV-P-0304,P,-25.38069920,-49.50161731,961354.000,Pauli,PR,LEVANTADO
91,FHV-P-0305,P,-25.38104139,-49.50147095,962278.000,Pauli,PR,LEVANTADO
92,FHV-P-0306,P,-25.38167746,-49.50119772,963018.000,Pauli,PR,LEVANTADO
93,FHV-P-0307,P,-25.38232323,-49.50092452,962398.000,Pauli,PR,LEVANTADO
94,FHV-P-0308,P,-25.38253983,-49.50085400,963247.000,Pauli,PR,LEVANTADO
95,FHV-P-0309,P,-25.38275301,-49.50082737,963429.000,Pauli,PR,LEVANTADO
96,FHV-P-0310,P,-25.38153599,-49.50229723,976321.000,Pauli,PR,LEVANTADO
97,FHV-P-0311,P,-25.38159760,-49.50258219,975368.000,Pauli,PR,LEVANTADO
98,FHV-P-0312,P,-25.38167051,-49.50275935,973089.000,Pauli,PR,LEVANTADO
99,FHV-P-0313,P,-25.38180393,-49.50289255,972698.000,Pauli,PR,LEVANTADO
100,FHV-P-0314,P,-25.38205808,-49.50293350,976328.000,Pauli,PR,LEVANTADO
101,FHV-P-0315,P,-25.38233595,-49.50299813,969364.000,Pauli,PR,LEVANTADO
102,FHV-P-0316,P,-25.38259972,-49.50314266,967968.000,Pauli,PR,LEVANTADO
103,FHV-P-0317,P,-25.38284108,-49.50323420,965329.000,Pauli,PR,LEVANTADO
104,FHV-P-0318,P,-25.38310825,-49.50320363,965412.000,Pauli,PR,LEVANTADO
105,FHV-P-0319,P,-25.38336707,-49.50315916,964395.000,Pauli,PR,LEVANTADO
106,FHV-P-0320,P,-25.38363740,-49.50316189,962398.000,Pauli,PR,LEVANTADO
107,FHV-P-0321,P,-25.38383540,-49.50319257,968693.000,Pauli,PR,LEVANTADO
108,FHV-P-0322,P,-25.38399613,-49.50322260,961965.000,Pauli,PR,LEVANTADO
109,FHV-P-0323,P,-25.38415686,-49.50325264,959695.000,Pauli,PR,LEVANTADO
110,FHV-P-0324,P,-25.38440066,-49.50331603,961542.000,Pauli,PR,LEVANTADO
111,FHV-P-0325,P,-25.38473780,-49.50355440,960680.000,Pauli,PR,LEVANTADO
112,FHV-P-0326,P,-25.38489024,-49.50370821,959634.000,Pauli,PR,LEVANTADO
113,FHV-P-0327,P,-25.38496605,-49.50379085,960983.000,Pauli,PR,LEVANTADO
114,FHV-P-0328,P,-25.38652817,-49.50123749,959555.000,Pauli,PR,LEVANTADO
115,FHV-P-0329,P,-25.38809702,-49.50121603,958555.000,Pauli,PR,LEVANTADO
116,FHV-P-0330,P,-25.38809354,-49.50112246,960523.000,Pauli,PR,LEVANTADO
117,FHV-P-0331,P,-25.38809354,-49.50112246,960752.000,Pauli,PR,LEVANTADO
118,FHV-P-7101,P,-25.39378872,-49.49764031,982226.000,Pauli,PR,LEVANTADO
119,FHV-P-7102,P,-25.39353008,-49.49652850,970426.000,Pauli,PR,LEVANTADO
120,FHV-P-7103,P,-25.39307098,-49.49553330,964782.000,Pauli,PR,LEVANTADO
121,FHV-P-7104,P,-25.39337044,-49.49493750,964851.000,Pauli,PR,LEVANTADO
122,FHV-P-7107,P,-25.39458166,-49.49774189,979014.000,Pauli,PR,LEVANTADO
123,FHV-P-7110,P,-25.39336544,-49.49877666,981964.000,Pauli,PR,LEVANTADO
124,FHV-P-7111,P,-25.39258117,-49.49933637,980641.000,Pauli,PR,LEVANTADO
125,FHV-P-7112,P,-25.39161196,-49.49999174,979359.000,Pauli,PR,LEVANTADO
126,FHV-P-7113,P,-25.39075352,-49.50058903,979671.000,Pauli,PR,LEVANTADO
127,FHV-P-7114,P,-25.39031842,-49.50088900,978251.000,Pauli,PR,LEVANTADO
128,FHV-P-7115,P,-25.38984077,-49.50112322,977358.000,Pauli,PR,LEVANTADO
129,FHV-P-7116,P,-25.38949922,-49.50120290,969874.000,Pauli,PR,LEVANTADO
130,FHV-P-7117,P,-25.38906344,-49.50121951,965950.000,Pauli,PR,LEVANTADO
131,FHV-P-7118,P,-25.38906901,-49.50021754,972.020,Pauli,PR,LEVANTADO
132,FHV-P-7119,P,-25.38913092,-49.49803677,968413.000,Pauli,PR,LEVANTADO
133,FHV-P-7120,P,-25.38832608,-49.49612965,964932.000,Pauli,PR,LEVANTADO
134,FHV-P-7121,P,-25.38834121,-49.49659973,965984.000,Pauli,PR,LEVANTADO
135,FHV-P-7122,P,-25.38832504,-49.49769677,966247.000,Pauli,PR,LEVANTADO
136,FHV-P-7123,P,-25.38818131,-49.49798461,966451.000,Pauli,PR,LEVANTADO
137,FHV-P-7124,P,-25.38816249,-49.49808974,967267.000,Pauli,PR,LEVANTADO
138,FHV-P-7126,P,-25.38333293,-49.50120982,957845.000,Pauli,PR,LEVANTADO
139,FHV-P-7127,P,-25.38366422,-49.50126911,959864.000,Pauli,PR,LEVANTADO
140,FHV-P-7128,P,-25.38401873,-49.50133395,957964.000,Pauli,PR,LEVANTADO
141,FHV-P-7129,P,-25.38437333,-49.50139814,957631.000,Pauli,PR,LEVANTADO
142,FHV-P-7130,P,-25.38477462,-49.50146418,958721.000,Pauli,PR,LEVANTADO
143,FHV-P-7131,P,-25.38505107,-49.50149781,958964.000,Pauli,PR,LEVANTADO
144,FHV-P-7132,P,-25.38539370,-49.50152883,957934.000,Pauli,PR,LEVANTADO
145,FHV-P-7133,P,-25.38573961,-49.50154619,957018.000,Pauli,PR,LEVANTADO
146,FHV-P-7134,P,-25.38702213,-49.50304848,961070.000,Pauli,PR,LEVANTADO
147,FHV-P-7135,P,-25.38857481,-49.50195579,961670.000,Pauli,PR,LEVANTADO
148,FHV-P-7136,P,-25.38903419,-49.50172103,961330.000,Pauli,PR,LEVANTADO
149,FHV-P-7137,P,-25.38905369,-49.50151918,961220.000,Pauli,PR,LEVANTADO
150,FHV-P-7138,P,-25.38892083,-49.50152450,961120.000,Pauli,PR,LEVANTADO
151,FHV-P-7139,P,-25.38824969,-49.50151304,960820.000,Pauli,PR,LEVANTADO
152,FHV-P-7140,P,-25.38653231,-49.50153652,959150.000,Pauli,PR,LEVANTADO
