id,codigo,tipo,municipio,estado,coordenada_e,coordenada_n,altitude,latitude,longitude,data_levantamento,metodo,precisao_horizontal,precisao_vertical,observacoes,status,criado_em,atualizado_em
32,FHV-M-3417,M,Pauli,PR,651156.1417,7191193.227,965639,-25.38840890970106,-49.4974166874248,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
33,FHV-M-3420,M,Pauli,PR,651362.8181,7190694.487,965128,-25.39289028084618,-49.49530693403003,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
34,FHV-M-3579,M,Pauli,PR,651462.03,7190543.947,964934,-25.39423918564701,-49.49430407710562,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
35,FHV-M-3614,M,Pauli,PR,650738.6833,7192063.461,975966,-25.380595179610665,-49.501662325941496,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
36,FHV-M-3619,M,Pauli,PR,650714.6054,7191863.706,956387,-25.38240090987631,-49.501879341830524,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
37,FHV-M-3644,M,Pauli,PR,650783.9103,7191227.349,,-25.38813861871454,-49.50111969231226,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
38,FHV-M-3901,M,Pauli,PR,650711.8173,7191784.056,958328,-25.38312023437058,-49.50189817486322,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
39,FHV-M-3905,M,Pauli,PR,650630.1316,7191393.178,962854,-25.386657160249843,-49.50266639775328,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
40,FHV-M-3948,M,Pauli,PR,650557.1224,7191624.927,985809,-25.384572424256866,-49.50341774268895,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
41,FHV-M-4329,M,Pauli,PR,650741.9021,7191437.283,959555,-25.386247689751514,-49.50156056338165,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
42,FHV-P-0001,P,JUFAP,PR,640862.78,7187170.75,813.68,-25.42573289709589,-49.599294417259664,,PG6,0,0,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
