codigo,x_antigo,y_antigo,x_corrigido,y_corrigido,latitude,longitude,x_alterado,y_alterado
FHV-P-0286,6506939464,71920637906,650693.9464,7192063.7906,-25.3805967314388,-49.50210692560728,Sim,Sim
FHV-P-0287,6506240859,71919496452,650624.0859,7191949.6452,-25.381634249567423,-49.502788440935745,Sim,Sim
FHV-P-0288,6506433532,71919581157,650643.3532,7191958.1157,-25.38155583304289,-49.50259791791854,Sim,Sim
FHV-P-0289,6506725243,71919647136,650672.5243,7191964.7136,-25.381493319266383,-49.502308769072386,Sim,Sim
FHV-P-0291,6507224114,71919767594,650722.4114,7191976.7594,-25.38137952743211,-49.50181436544349,Sim,Sim
FHV-P-0292,6507150205,71920412828,650715.0205,7192041.2828,-25.38079778871399,-49.501894999150714,Sim,Sim
FHV-P-0293,6507293218,71920032186,650729.3218,7192003.2186,-25.381139966934214,-49.5017486422719,Sim,Sim
FHV-P-0294,6507240121,71919721392,650724.0121,7191972.1392,-25.381421074405157,-49.50179794401972,Sim,Sim
FHV-P-0295,6507391396,71919773785,650739.1396,7191977.3785,-25.381372245402982,-49.50164820061224,Sim,Sim
FHV-P-0296,6507425754,71919683403,650742.5754,7191968.3403,-25.381453490212948,-49.50161305085882,Sim,Sim
FHV-P-0297,6507698788,71918955283,650769.8788,7191895.5283,-25.382108038346807,-49.50133361315402,Sim,Sim
FHV-P-0298,6507822225,71918619507,650782.2225,7191861.9507,-25.38240991113565,-49.5012072065025,Sim,Sim
FHV-P-0299,6507880214,71918415029,650788.0214,7191841.5029,-25.382593916938884,-49.501147301256495,Sim,Sim
FHV-P-0300,6507898687,71918234206,650789.8687,7191823.4206,-25.3827569682384,-49.50112692831647,Sim,Sim
FHV-P-0301,6507873338,71917968653,650787.3338,7191796.8653,-25.382996953448785,-49.501149158834636,Sim,Sim
FHV-P-0302,6507559986,71919325275,650755.9986,7191932.5275,-25.381775432374383,-49.50147566919533,Sim,Sim
FHV-P-0304,6507430831,71920518892,650743.0831,7192051.8892,-25.380699199009896,-49.50161731462525,Sim,Sim
FHV-P-0305,6507573853,71920138225,650757.3853,7192013.8225,-25.381041399405703,-49.501470947890795,Sim,Sim
FHV-P-0306,6507840871,71919430649,650784.0871,7191943.0649,-25.381677462081633,-49.50119771779303,Sim,Sim
FHV-P-0307,6508107734,71918712322,650810.7734,7191871.2322,-25.38232323112402,-49.50092451885681,Sim,Sim
FHV-P-0308,6508175994,71918471629,650817.5994,7191847.1629,-25.3825398259427,-49.50085400277056,Sim,Sim
FHV-P-0309,6508200146,71918235206,650820.0146,7191823.5206,-25.382753012681473,-49.50082736611556,Sim,Sim
FHV-P-0310,6506736323,71919599745,650673.6323,7191959.9745,-25.381535989522565,-49.502297230690296,Sim,Sim
FHV-P-0311,6506448834,71919534720,650644.8834,7191953.472,-25.381597599391938,-49.50258219469831,Sim,Sim
FHV-P-0312,6506269681,71919455959,650626.9681,7191945.5959,-25.381670513230354,-49.50275934862416,Sim,Sim
