codigo,coordenada_e,coordenada_n,motivo
FHV-V-1047,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1048,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1049,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1114,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1115,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1116,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1653,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1654,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1655,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1656,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1657,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1658,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1659,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1660,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1661,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1662,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1663,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1664,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1665,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1666,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1667,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1668,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1669,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1670,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1671,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1672,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1673,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1674,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1675,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1676,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1677,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1678,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1679,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1680,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1681,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1682,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1683,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1684,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1685,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1686,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1687,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1688,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1689,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1720,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1775,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1780,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1781,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-V-1889,813926.32,7785705.97,"X fora do range (200000-800000): 813926.32; Y fora do range (7000000-7500000): 7785705.97"
FHV-V-1893,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0191,651122744,7190510.66,"X fora do range (200000-800000): 651122744"
FHV-M-0228,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0409,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0456,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0558,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0581,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0583,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0594,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0642,813926.32,7785705.97,"X fora do range (200000-800000): 813926.32; Y fora do range (7000000-7500000): 7785705.97"
FHV-M-0774,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-0871,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1155,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1158,813926.32,7785705.97,"X fora do range (200000-800000): 813926.32; Y fora do range (7000000-7500000): 7785705.97"
FHV-M-1247,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1249,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1257,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1263,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1264,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1350,813926.32,7785705.97,"X fora do range (200000-800000): 813926.32; Y fora do range (7000000-7500000): 7785705.97"
FHV-M-1441,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1490,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1714,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1715,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1721,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1751,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1766,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1801,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1870,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1882,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-1972,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2206,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2249,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2311,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2319,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2355,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2359,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2377,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2390,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2412,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2413,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2427,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2437,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2502,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2508,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2510,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2511,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2517,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2518,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2519,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2522,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2536,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2538,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2566,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2598,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2620,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2622,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2686,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2690,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2718,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2725,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2730,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2734,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2755,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2758,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2759,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2763,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2766,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2768,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2773,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2782,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2787,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2794,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2797,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2831,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2902,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2911,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2915,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2917,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2921,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2922,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2925,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2933,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2962,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2981,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2989,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2992,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-2999,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3071,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3089,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3214,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3238,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3242,813926.32,7785705.97,"X fora do range (200000-800000): 813926.32; Y fora do range (7000000-7500000): 7785705.97"
FHV-M-3260,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3352,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3359,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3362,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3365,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3367,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3384,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3402,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3415,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3433,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3435,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3501,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3508,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3514,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3560,651290931,7190526.7,"X fora do range (200000-800000): 651290931"
FHV-M-3566,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3572,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3579,651462.03,7190543947,"Y fora do range (7000000-7500000): 7190543947"
FHV-M-3585,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3590,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3595,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3601,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3609,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3626,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3635,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3696,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3702,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3703,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3708,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3715,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3717,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3719,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3737,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3749,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3822,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3839,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3844,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-3917,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4009,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4017,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4018,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4020,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4021,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4025,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4028,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4032,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4036,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4040,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4042,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4043,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4047,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4049,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4068,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4077,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4082,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4093,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4097,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4099,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4155,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4156,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4159,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4162,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4188,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4198,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4200,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4202,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
FHV-M-4209,811893.08,7674924.31,"X fora do range (200000-800000): 811893.08; Y fora do range (7000000-7500000): 7674924.31"
