linha,codigo,motivo,detalhes
161,"N/A","Código ou tipo ausente",""
162,"N/A","Código ou tipo ausente",""
163,"N/A","Código ou tipo ausente",""
164,"N/A","Código ou tipo ausente",""
165,"N/A","Código ou tipo ausente",""
166,"N/A","Código ou tipo ausente",""
167,"N/A","Código ou tipo ausente",""
168,"N/A","Código ou tipo ausente",""
169,"N/A","Código ou tipo ausente",""
170,"N/A","Código ou tipo ausente",""
171,"N/A","Código ou tipo ausente",""
172,"N/A","Código ou tipo ausente",""
173,"N/A","Código ou tipo ausente",""
174,"N/A","Código ou tipo ausente",""
175,"N/A","Código ou tipo ausente",""
176,"N/A","Código ou tipo ausente",""
177,"N/A","Código ou tipo ausente",""
178,"N/A","Código ou tipo ausente",""
179,"N/A","Código ou tipo ausente",""
180,"N/A","Código ou tipo ausente",""
181,"N/A","Código ou tipo ausente",""
182,"N/A","Código ou tipo ausente",""
183,"N/A","Código ou tipo ausente",""
184,"N/A","Código ou tipo ausente",""
185,"N/A","Código ou tipo ausente",""
186,"N/A","Código ou tipo ausente",""
187,"N/A","Código ou tipo ausente",""
188,"N/A","Código ou tipo ausente",""
189,"N/A","Código ou tipo ausente",""
190,"N/A","Código ou tipo ausente",""
191,"N/A","Código ou tipo ausente",""
192,"N/A","Código ou tipo ausente",""
193,"N/A","Código ou tipo ausente",""
194,"N/A","Código ou tipo ausente",""
195,"N/A","Código ou tipo ausente",""
196,"N/A","Código ou tipo ausente",""
197,"N/A","Código ou tipo ausente",""
198,"N/A","Código ou tipo ausente",""
199,"N/A","Código ou tipo ausente",""
200,"N/A","Código ou tipo ausente",""
201,"N/A","Código ou tipo ausente",""
202,"N/A","Código ou tipo ausente",""
203,"N/A","Código ou tipo ausente",""
204,"N/A","Código ou tipo ausente",""
205,"N/A","Código ou tipo ausente",""
206,"N/A","Código ou tipo ausente",""
207,"N/A","Código ou tipo ausente",""
208,"N/A","Código ou tipo ausente",""
209,"N/A","Código ou tipo ausente",""
210,"N/A","Código ou tipo ausente",""
211,"N/A","Código ou tipo ausente",""
212,"N/A","Código ou tipo ausente",""
213,"N/A","Código ou tipo ausente",""
214,"N/A","Código ou tipo ausente",""
215,"N/A","Código ou tipo ausente",""
216,"N/A","Código ou tipo ausente",""
217,"N/A","Código ou tipo ausente",""
218,"N/A","Código ou tipo ausente",""
219,"N/A","Código ou tipo ausente",""
220,"N/A","Código ou tipo ausente",""
221,"N/A","Código ou tipo ausente",""
222,"N/A","Código ou tipo ausente",""
223,"N/A","Código ou tipo ausente",""
224,"N/A","Código ou tipo ausente",""
225,"N/A","Código ou tipo ausente",""
226,"N/A","Código ou tipo ausente",""
227,"N/A","Código ou tipo ausente",""
228,"N/A","Código ou tipo ausente",""
229,"N/A","Código ou tipo ausente",""
230,"N/A","Código ou tipo ausente",""
231,"N/A","Código ou tipo ausente",""
232,"N/A","Código ou tipo ausente",""
233,"N/A","Código ou tipo ausente",""
234,"N/A","Código ou tipo ausente",""
235,"N/A","Código ou tipo ausente",""
236,"N/A","Código ou tipo ausente",""
