codigo,utm_e,utm_n,lat_calculada,lng_calculada,motivo
FHV-V-0229,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0230,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0231,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0232,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0233,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0234,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0235,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0236,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0237,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0238,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0239,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0240,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0241,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0242,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0243,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0244,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0245,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0246,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0247,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0248,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0249,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0250,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0251,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0252,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0253,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0254,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0255,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0256,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0257,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0258,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0259,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0260,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0261,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0262,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0263,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0264,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0265,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0266,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0267,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0268,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0269,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0270,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0271,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0272,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0273,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0274,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0275,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0276,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0277,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0278,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0279,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0280,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0281,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0282,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0283,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0284,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0285,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0286,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0287,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0288,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0289,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0290,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0291,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0292,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0293,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0294,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0295,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0296,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0297,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0298,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0299,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0300,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0301,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0302,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0306,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0307,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0308,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0309,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0310,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0311,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0312,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0313,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0314,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0315,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0316,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0317,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0318,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0319,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0320,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0321,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0323,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0324,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0325,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0326,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0327,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0328,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0329,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0330,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0331,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0332,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0333,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0334,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0336,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0337,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0338,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0339,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0340,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0341,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0342,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0343,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0344,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0345,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0346,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0347,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0348,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0349,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0350,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0351,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0352,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0353,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0354,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0355,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0356,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0357,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0358,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0359,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0360,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0361,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0362,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0363,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0364,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0365,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0366,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0367,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0368,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0369,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0370,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0371,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0372,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0373,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0374,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0375,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0376,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0377,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0378,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0379,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0380,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0381,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0382,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0383,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0384,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0385,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0386,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0387,8,21,-85.52618784540071,-141.2305615664859,"Latitude fora do range do Paraná"
FHV-V-0388,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0389,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0390,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
